R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
54  34,Kyrie Irving,"PG,SG",DAL,40,36.1,24.5,4.8,4.8,1.2,0.4,2.3,2.99
55  34,Josh Giddey,"PG,SG,SF",CHI,48,28.8,12.1,7.3,6.6,1.1,0.5,2.8,2.99
56  30,Jaylen Brown,"SG,SF",BOS,44,35.4,23.1,6.1,4.8,1.2,0.3,2.6,2.97
57  52,Russell Westbrook,"PG,SG",DEN,48,27.7,13,5.1,6.4,1.5,0.5,3,2.97
58  11,Jarrett Allen,C,CLE,51,29,13.6,10.3,2,0.9,0.9,1.1,2.96
59  25,John Collins,"PF,C",UTA,32,29.9,18.2,8.2,2.3,1,1,2.7,2.96
60  63,Draymond Green,"PF,C",GS,36,28,8.3,6,5.6,1.1,1.1,2.5,2.9
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
61  21,Fred VanVleet,PG,HOU,45,35.5,14.6,3.9,5.8,1.6,0.4,1.6,2.8
62  25,Donovan Mitchell,"PG,SG",CLE,48,31.2,23.8,4.4,4.7,1.4,0.2,2,2.73
63  24,Jalen Brunson,PG,NY,50,35.3,26.1,2.9,7.5,1,0.1,2.4,2.71
64  24,Desmond Bane,"SG,SF",MEM,40,30.1,17.9,5.7,5.5,1.2,0.4,2.5,2.69
65  16,Derrick White,"PG,SG",BOS,48,33.8,16.2,4.2,4.2,0.9,1.2,1.6,2.66
66  19,Dereck Lively II,C,DAL,32,24,9.1,7.8,2.6,0.5,1.7,1.2,2.61
67  26,Tari Eason,"SF,PF",HOU,33,23.6,11.2,6.3,1.1,1.8,0.9,0.9,2.6
68  3,Jalen Suggs,"PG,SG",ORL,35,28.6,16.2,4,3.7,1.5,0.9,2.9,2.56
69  18,Brandon Ingram,"SG,SF,PF",TOR,18,33.1,22.2,5.6,5.2,0.9,0.6,3.8,2.56
70  8,Deandre Ayton,C,POR,37,30.4,14.6,10.4,1.6,0.8,0.9,1.7,2.54
71  18,Pascal Siakam,"SF,PF,C",IND,49,33.1,20.4,7.3,3.4,0.9,0.5,1.3,2.5
72  11,Brandon Miller,"SG,SF,PF",CHA,27,34.2,21,4.9,3.6,1.1,0.8,2.8,2.47
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
73  78,Alexandre Sarr,"PF,C",WAS,41,26.8,11.5,6.6,2.2,0.7,1.6,1.4,2.43
74  66,RJ Barrett,"SG,SF,PF",TOR,41,33.3,21.6,6.6,5.7,0.8,0.3,3,2.43
75  8,Jalen Duren,C,DET,48,25.7,10.7,10,2.3,0.6,1.2,1.9,2.39
76  28,Jordan Poole,"PG,SG",WAS,43,31,20.3,3.1,4.9,1.5,0.5,3.3,2.37
77  5,Brook Lopez,C,MIL,48,32.1,12.1,4.7,1.7,0.7,1.9,1,2.33
78  4,Chris Paul,PG,SA,48,29.1,9.4,4.1,8.2,1.3,0.2,1.6,2.25
79  20,Malik Monk,"PG,SG,SF",SAC,42,31.9,18,3.7,5.8,1,0.6,2.1,2.22
80  13,OG Anunoby,"SF,PF",NY,49,36.3,16.4,4.7,2,1.4,0.9,1.3,2.2
81  76,Nicolas Claxton,C,BKN,44,26.4,9.9,7.4,2,0.9,1.3,1.2,2.19
82  12,Jimmy Butler,"SF,PF",GS,25,30.6,17,5.2,4.8,1.1,0.4,1.2,2.15
83  10,Miles Bridges,"SF,PF",CHA,34,31.9,19.4,7.7,3.9,0.6,0.6,2,2.15
84  8,Daniel Gafford,"PF,C",DAL,48,21.8,12.7,6.7,1.4,0.4,1.8,1.2,2.09
