R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
233  13,Haywood Highsmith,"SF,PF",MIA,47,24,6.5,3.1,1.2,0.9,0.6,0.7,-1.94
234  36,Kyle Anderson,"SF,PF",TOR,36,15,5.3,3.1,2.3,0.7,0.6,0.6,-1.95
235  18,Miles McBride,"PG,SG",NY,41,23.3,9.1,2.4,2.7,0.9,0.2,0.7,-1.99
236  4,Keldon Johnson,"SG,SF,PF",SA,45,23.8,12.1,4.7,1.4,0.6,0.2,0.8,-2.02
237  3,Jaxson Hayes,"PF,C",LAL,27,17.1,5.3,4.1,0.9,0.5,0.9,0.7,-2.05
238  53,Chris Boucher,"PF,C",TOR,43,17.4,10.5,4.3,0.6,0.5,0.6,0.6,-2.05
239  57,Obi Toppin,PF,IND,46,18.8,9.8,4,1.5,0.6,0.4,0.7,-2.08
240  75,Luke Kennard,SG,MEM,38,22.2,9.7,2.9,3.4,0.7,0.1,1.1,-2.13
241  28,Tosan Evbuomwan,,BKN,17,24.9,10.3,4.2,1.6,0.7,0.3,1.8,-2.21
242  30,Quentin Grimes,"SG,SF",PHI,47,22.8,10.2,3.8,2.1,0.7,0.2,1.3,-2.21
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
243  1,Bruce Brown,"SG,SF",NO,18,19.6,8.4,3.8,1.6,0.9,0.2,1.1,-2.24
244  6,Vít Krejcí,"SG,SF",ATL,36,20.3,6.6,2.4,2.5,0.7,0.5,0.9,-2.25
245  17,Trey Lyles,"PF,C",SAC,40,19.8,6.6,4.7,1,0.6,0.5,0.6,-2.27
246  26,Kyle Lowry,PG,PHI,31,19.4,4.2,2,2.9,1,0.3,0.6,-2.27
247  7,Bogdan Bogdanovic,"SG,SF",ATL,24,24.9,10,2.8,2,0.8,0.3,1.5,-2.29
248  7,Josh Green,"SG,SF",CHA,45,28.6,7.5,2.8,1.5,1.1,0.2,0.9,-2.31
249  88,Jared McCain,"PG,SG",PHI,23,25.7,15.3,2.4,2.6,0.7,0,1.6,-2.31
250  4,Paul Reed,"PF,C",DET,28,9.9,4.4,2.5,1,1.1,0.5,0.5,-2.32
251  10,Kevin Huerter,"SG,SF",CHI,43,20.9,7.9,2.8,1.7,0.8,0.4,0.9,-2.34
252  37,Max Christie,"SG,SF",DAL,47,25.2,8.6,2.8,1.5,0.8,0.4,0.9,-2.34
253  23,Davion Mitchell,"PG,SG",TOR,44,24.6,6.3,1.9,4.6,0.7,0.2,1.8,-2.35
254  28,Jarace Walker,PF,IND,48,16.7,6.2,3.2,1.5,0.9,0.4,1.1,-2.37
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
255  19,Kelly Olynyk,C,NO,24,16,7.1,3.7,2.3,0.7,0.3,1.4,-2.39
256  15,Cole Anthony,PG,ORL,47,17.1,9.2,2.9,2.8,0.6,0.3,1.6,-2.41
257  29,Drew Eubanks,C,LAC,38,15.1,5.7,4.4,1.2,0.3,0.8,0.8,-2.42
258  31,Mo Bamba,C,UTA,28,12.6,4.6,4.3,0.6,0.3,1,0.7,-2.44
259  54,Aaron Wiggins,"SG,SF",OKC,49,21.4,10.2,3.6,1.6,0.7,0.2,0.9,-2.44
260  31,Charles Bassey,C,SA,32,10.8,4.6,4.6,0.4,0.4,0.9,0.7,-2.44
261  52,Dalano Banton,"SG,SF",POR,39,15.3,8.5,1.9,2.1,0.7,0.5,1.2,-2.47
263  42,Jonathan Mogbo,"PF,C",TOR,38,16.6,5.2,4.2,1.5,0.7,0.4,0.8,-2.48
265  70,Harrison Barnes,"SF,PF",SA,48,27.9,11.7,4,1.8,0.4,0.2,0.6,-2.53
266  22,Nickeil Alexander-Walker,"SG,SF",MIN,51,23.7,8.7,2.9,2.4,0.6,0.3,1.2,-2.58
267  45,Taurean Prince,"SG,SF",MIL,49,25.6,7.6,3.7,2,0.8,0.1,1,-2.61
268  17,Jordan Hawkins,SG,NO,33,23.2,10.9,2.5,1,0.7,0.4,0.9,-2.61
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
269  16,Noah Clowney,"SF,PF,C",BKN,37,23,9.4,3.9,0.8,0.5,0.5,1,-2.62
270  33,Ryan Dunn,"SF,PF",PHO,45,19.3,6.8,3.5,0.9,0.5,0.6,0.4,-2.69
271  12,Daniel Theis,C,OKC,38,16.3,4.3,4.3,1.6,0.5,0.5,0.7,-2.7
272  14,Keaton Wallace,,ATL,23,17.3,5.9,1.5,2.3,1,0.3,1.2,-2.71
273  83,Mouhamed Gueye,"PF,C",ATL,5,13.6,5,3,0.4,1,0.4,0.2,-2.73
274  63,Corey Kispert,"SG,SF",WAS,45,26.7,11.5,3,1.6,0.6,0.2,1,-2.73
275  42,Kenyon Martin Jr.,"SF,PF",PHI,24,20,6.4,3,0.8,0.5,0.7,0.5,-2.79
276  31,Svi Mykhailiuk,"SG,SF",UTA,19,19.1,10,2.4,1.8,0.7,0.3,1.6,-2.8
277  36,Thomas Bryant,C,IND,33,13.7,6.1,3.6,0.8,0.5,0.6,0.4,-2.81
278  22,Terance Mann,"SG,SF",LAC,37,19.8,6,2.9,1.6,0.8,0.3,0.7,-2.81
279  12,Justin Edwards,SF,PHI,21,23.6,8,3.1,1.4,0.7,0.3,0.9,-2.82
280  15,Tristan Da Silva,SF,ORL,48,25.7,8.6,4,1.8,0.5,0.2,0.9,-2.85
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
281  54,Jaylen Wells,SF,MEM,51,26.1,11.3,3.2,1.7,0.6,0.1,1,-2.87
282  15,Cam Whitmore,"SF,PF",HOU,31,16.9,9.7,3.2,0.8,0.7,0.3,1.1,-2.91
283  60,Jay Huff,C,MEM,44,12.9,7.8,2.2,0.7,0.3,0.9,0.6,-2.95
284  26,Tre Jones,PG,CHI,28,16.1,4.4,2.1,3.7,0.6,0.2,0.8,-2.96
285  35,Trevelin Queen,SG,ORL,22,15.4,4.8,1.6,1.4,1,0.4,0.9,-2.98
286  70,Aaron Nesmith,"SF,PF",IND,14,21,8.5,3.4,1.1,0.6,0.3,0.8,-2.98
287  62,Gary Trent Jr.,"PG,SG,SF",MIL,44,24.6,9.7,2.4,1,0.9,0.1,0.6,-3.01
288  64,Duncan Robinson,"SG,SF",MIA,47,24.1,10.9,2.4,2.6,0.5,0.1,1.1,-3.02
289  32,Julian Strawther,SG,DEN,51,21.8,9.4,2.1,1.3,0.7,0.3,0.8,-3.04
290  8,Isaac Okoro,"SF,PF",CLE,28,19.7,5.8,2.1,1.6,0.7,0.4,0.4,-3.05
291  2,Jeremiah Robinson-Earl,"PF,C",NO,42,17.9,5.5,4.7,1.2,0.7,0.1,0.7,-3.08
292  12,GG Jackson II,"SF,PF",MEM,9,17.6,9.9,3.9,0.9,0.6,0.2,1.4,-3.1
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
293  21,Karlo Matkovic,PF,NO,13,11.3,2.5,3.4,0.7,0.5,0.8,0.8,-3.11
294  7,Matas Buzelis,"SF,PF",CHI,50,14.2,6,2.8,0.4,0.3,0.9,0.6,-3.14
295  56,Isaiah Joe,"PG,SG",OKC,45,21,9.7,2.5,1.4,0.7,0.1,0.4,-3.14
296  3,Jalen Wilson,"SF,PF",BKN,50,27.6,9.5,3.5,1.9,0.6,0,1.1,-3.17
297  96,Steven Adams,C,HOU,35,12.6,3.8,5.2,1.1,0.3,0.5,0.9,-3.18
298  20,DaQuan Jeffries,SG,CHA,17,17.4,5.5,2.8,0.9,0.7,0.4,0.5,-3.22
299  11,Neemias Queta,C,BOS,39,14.6,5.1,3.7,0.7,0.3,0.7,0.6,-3.23
300  57,Sam Hauser,"SF,PF",BOS,42,19.9,7.5,3,1,0.7,0.2,0.4,-3.24
301  16,Tyrese Martin,,BKN,33,21.2,8.2,3.9,1.8,0.4,0.2,1.2,-3.26
302  31,Kyle Filipowski,"PF,C",UTA,39,18,6,4.6,1.8,0.5,0.1,1,-3.26
303  37,Ja'Kobe Walter,SG,TOR,32,19.2,7.6,2.4,1.5,0.7,0.2,0.8,-3.31
304  17,Trendon Watford,"PF,C",BKN,15,17.4,8.5,3.2,1.3,0.5,0.3,1.4,-3.35
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
305  80,KJ Simpson,PG,CHA,18,17.9,5.9,2.2,2.2,0.7,0.2,1.1,-3.36
306  71,Delon Wright,"PG,SG",MIL,26,15.6,2.5,1.8,1.8,0.9,0.3,0.5,-3.37
307  32,Cameron Payne,"PG,SG",NY,45,14.3,7.2,1.4,2.5,0.6,0.2,0.6,-3.4
308  10,Nicolas Batum,"SF,PF",LAC,48,17.6,3.4,2.9,1.4,0.6,0.4,0.4,-3.41
309  36,Kevin Love,"PF,C",MIA,19,10.9,5.5,4.1,1,0.7,0.1,0.7,-3.42
310  65,Elijah Harkless,,UTA,9,15,3.6,2.3,0.9,1.1,0.1,0.3,-3.46
311  2,Ben Sheppard,"SG,SF",IND,35,20.5,5.6,2.6,1.3,0.6,0.3,0.3,-3.47
312  3,Gary Payton II,"SG,SF",GS,39,13.7,5.3,3,1.3,0.6,0.3,0.7,-3.47
313  17,Eric Gordon,"SG,SF",PHI,37,20.2,7.2,1.2,1.7,0.7,0.3,0.7,-3.47
314  11,John Konchar,"SG,SF",MEM,27,13.7,2.7,3.9,1.1,0.5,0.4,0.4,-3.5
315  29,Cam Reddish,"SG,SF",CHA,31,18.1,3.3,2,0.7,1,0.3,0.4,-3.5
316  49,Tidjane Salaun,PF,CHA,35,18.5,4.8,4.1,1.1,0.6,0.2,0.9,-3.51
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
317  11,Andre Jackson Jr.,"SG,SF",MIL,47,17.5,4,3.3,1.5,0.6,0.3,1,-3.53
318  39,Garrison Mathews,"SG,SF",ATL,42,18,7.7,1.9,1.3,0.6,0.3,0.7,-3.56
319  32,Bones Hyland,"PG,SG",LAC,20,11.1,7.2,1.2,1.4,0.9,0.2,1.2,-3.57
320  85,Amir Coffey,"SF,PF",LAC,49,26,10.1,2.4,1.1,0.6,0.1,0.7,-3.59
321  48,Quinten Post,C,GS,12,14.4,7.2,3.5,1.8,0.2,0.3,0.6,-3.59
322  30,DeAndre Jordan,C,DEN,36,11.7,3.4,4.5,0.8,0.3,0.5,0.7,-3.61
323  16,Moses Moody,"SG,SF",GS,42,18.2,9,2.1,1.1,0.5,0.3,0.7,-3.62
324  7,Lindy Waters III,"SG,SF",GS,38,17.2,5.5,2.6,1.1,0.6,0.3,0.4,-3.62
325  85,Jaylen Nowell,SG,NO,8,21,8.4,2.5,2.3,0.1,0.4,1,-3.65
326  46,Sam Merrill,SG,CLE,43,18.9,7.1,1.9,1.6,0.6,0.2,0.5,-3.67
327  33,Kenrich Williams,PF,OKC,38,14.4,5.7,3.3,1,0.7,0.1,0.6,-3.68
328  1,Jamal Shead,PG,TOR,45,17,5.8,1.1,3.5,0.6,0.1,1.5,-3.69
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
329  78,Brice Sensabaugh,"SF,PF",UTA,39,17.9,9.4,2.6,1.3,0.6,0.1,1.4,-3.71
330  24,Oso Ighodaro,C,PHO,40,15,3.6,3.3,1,0.5,0.4,0.6,-3.72
331  15,Richaun Holmes,C,WAS,13,12.6,4.3,4.1,0.9,0.2,0.5,0.4,-3.72
333  10,Ryan Rollins,PG,MIL,33,12.2,5,1.5,1.2,0.7,0.4,0.9,-3.76
334  39,Ajay Mitchell,PG,OKC,34,16.5,6.5,2,1.7,0.7,0.1,0.8,-3.76
335  9,Quenton Jackson,,IND,18,14.1,5.7,1.5,1.7,0.6,0.3,0.6,-3.77
336  12,Zach Collins,"PF,C",CHI,36,11.8,4.6,2.8,1.4,0.4,0.4,0.6,-3.78
337  16,Vasilije Micic,"PG,SG",CHA,36,21.2,7.5,2.4,3.5,0.4,0,2.1,-3.79
338  22,Josh Richardson,"PG,SG",MIA,8,18.7,4,1.5,1.5,1,0.1,1,-3.82
339  27,Marcus Sasser,PG,DET,40,13.9,5.8,1.3,2.3,0.7,0.1,0.9,-3.85
340  72,Georges Niang,"SF,PF",CLE,51,20.7,8.7,3.7,1.3,0.3,0.1,0.9,-3.9
341  57,Tim Hardaway Jr.,"SG,SF",DET,47,28.6,11,2.2,1.6,0.4,0,0.7,-3.95
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
342  10,Jared Butler,"PG,SG",WAS,32,11.3,6.9,1.3,2.6,0.4,0.2,0.9,-3.96
343  24,Alec Burks,"SG,SF",MIA,26,16.1,5.7,2.1,1.1,0.6,0.2,0.3,-4
344  5,Ricky Council IV,"SG,SF",PHI,42,15.2,6.7,2.5,1.1,0.5,0.2,0.6,-4
345  66,Cody Williams,SF,UTA,26,21,3.9,2.2,1.3,0.5,0.4,0.8,-4.01
346  82,AJ Green,"PG,SG",MIL,42,21.9,7.8,2.3,1.3,0.5,0.1,0.6,-4.05
347  42,Dario Saric,"PF,C",DEN,13,14.7,3.8,3.6,1.7,0.5,0.1,1.1,-4.05
348  9,Maxi Kleber,"PF,C",LAL,34,18.7,3,2.8,1.3,0.3,0.5,0.7,-4.08
349  43,Johnny Juzang,"SG,SF",UTA,33,17.6,7.2,2.7,1,0.4,0.2,0.5,-4.1
350  60,Dalton Knecht,"SG,SF",CHA,48,20.7,9.4,3.1,0.9,0.3,0.1,0.5,-4.13
351  5,Gabe Vincent,"PG,SG",LAL,41,20.1,5.1,1.3,1.3,0.7,0.2,0.6,-4.16
352  15,Nick Smith Jr.,"PG,SG",CHA,30,17.7,7.5,1.9,1.6,0.4,0.2,0.9,-4.17
353  18,Reed Sheppard,SG,HOU,35,11.7,3.6,1.4,1.1,0.6,0.4,0.6,-4.19
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
354  12,Jamal Cain,"SF,PF",NO,20,12.6,3.7,2.5,0.6,0.5,0.4,0.5,-4.2
355  14,Ron Holland II,SF,DET,51,15.5,6.4,2.7,0.8,0.6,0.1,0.9,-4.23
357  21,Micah Potter,"PF,C",UTA,21,17.6,3.8,3.9,0.7,0.2,0.4,0.6,-4.27
358  24,David Roddy,"SF,PF",ATL,27,12.8,4.5,2.6,1.1,0.4,0.3,0.7,-4.3
359  29,Shake Milton,"PG,SG",LAL,38,16.3,6.3,1.8,2.1,0.4,0.1,0.7,-4.3
360  9,Bruno Fernando,C,TOR,17,8.6,3.4,3,1.1,0.2,0.5,0.8,-4.3
361  25,Taj Gibson,"PF,C",CHA,20,10.8,2.4,3.4,0.6,0.3,0.5,0.7,-4.3
362,Adem Bona,C,PHI,35,11,3,2.9,0.3,0.2,0.7,0.7,-4.31
363  94,Trey Jemison,C,LAL,21,9.9,2.1,2.9,0.5,0.4,0.5,0.6,-4.34
364  22,Simone Fontecchio,"SF,PF",DET,46,17.6,6.3,2.8,0.8,0.4,0.2,0.8,-4.38
365  22,Jaden Hardy,"PG,SG",DAL,39,15.6,8.4,1.6,1.4,0.5,0.1,1.5,-4.45
366  3,Patty Mills,"PG,SG",LAC,18,14.8,4.1,1.2,1.2,0.7,0.2,0.8,-4.46
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
367  37,Kobe Bufkin,"PG,SG",ATL,10,12.4,5.3,2.1,1.7,0.3,0.2,0.8,-4.55
368  21,Wendell Moore Jr.,"SG,SF",DET,20,10.9,3.2,2.2,1.2,0.5,0.2,0.5,-4.55
369  11,Pat Connaughton,"SG,SF",MIL,29,15.3,4.4,2.8,1.7,0.1,0.3,0.6,-4.55
370  4,Ousmane Dieng,"SF,PF",OKC,29,11.4,3.9,2.3,0.9,0.5,0.2,0.5,-4.57
371  16,Talen Horton-Tucker,"PG,SG",CHI,40,11.5,5.9,1.7,1.3,0.4,0.2,0.7,-4.58
372  1,Jordan Miller,SF,LAC,29,12.8,4.9,1.8,1.1,0.5,0.2,0.8,-4.6
373  39,Devin Carter,PG,SAC,15,10,3.9,2.6,1.4,0.3,0.2,0.5,-4.63
374  4,Dwight Powell,C,DAL,33,7.6,1.5,1.8,0.7,0.4,0.5,0.2,-4.64
375  7,Jae'Sean Tate,"SF,PF",HOU,31,11.4,4,2.1,0.8,0.6,0.1,0.4,-4.67
376  45,Isaiah Wong,SG,CHA,18,12.5,5.3,1.7,1.4,0.6,0,0.8,-4.67
377  3,Marvin Bagley III,"PF,C",WAS,19,8.8,4.9,2.9,0.4,0.3,0.3,0.6,-4.68
378  2,Gary Harris,"PG,SG",ORL,24,16,3.8,1.2,0.5,0.6,0.3,0.5,-4.77
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
379  18,Monte Morris,"PG,SG",PHO,38,13,5,1.4,1.7,0.4,0.1,0.4,-4.77
380  13,Reggie Jackson,"PG,SG",PHI,31,12.4,4.4,1.4,1.5,0.5,0.1,0.5,-4.77
381  35,Kris Murray,"SF,PF",POR,42,13.7,4,2.2,0.9,0.4,0.2,0.5,-4.81
382  33,Reece Beekman,PG,BKN,20,10.8,2.3,0.8,1.6,0.7,0.1,0.5,-4.82
383  61,Torrey Craig,"SF,PF",CHI,9,12.5,6.9,2.8,0.6,0.2,0.1,0,-4.85
384  38,Jock Landale,C,HOU,24,9.7,3.3,2.8,0.9,0.2,0.3,0.5,-4.88
385  17,Jabari Walker,"SF,PF",POR,37,10.1,3.2,2.8,0.5,0.5,0.1,0.5,-4.92
386  16,Gui Santos,"SF,PF",GS,26,12.5,4,2.6,1.2,0.3,0.1,0.6,-4.98
387  5,Dalen Terry,"SG,SF",CHI,47,12.7,3.8,1.5,1.2,0.4,0.2,0.7,-5.02
388  39,Sandro Mamukelashvili,PF,SA,31,8.3,4.7,2.4,0.5,0.2,0.3,0.4,-5.02
389  7,Pelle Larsson,SG,MIA,32,12.9,4,1.5,0.9,0.5,0.1,0.4,-5.07
390  11,Alex Len,C,SAC,36,7.3,1.4,1.8,0.8,0.2,0.5,0.3,-5.08
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
391  46,Olivier-Maxence Prosper,PF,DAL,40,9.7,3.6,2.4,0.7,0.4,0.1,0.3,-5.08
392  8,Julian Phillips,"SF,PF",CHI,50,13,4.3,2,0.4,0.4,0.2,0.4,-5.08
393  2,Jericho Sims,C,MIL,39,10.8,1.6,3.3,0.6,0.2,0.3,0.5,-5.09
394  30,Rob Dillingham,PG,MIN,26,11.6,5.7,1.2,2.4,0.3,0,1.3,-5.09
395  47,Cam Spencer,SG,MEM,10,12.1,4,1.7,1.6,0.3,0.1,0.5,-5.1
396  18,Jeff Dowtin Jr.,,PHI,23,11.1,3.6,1.2,1.4,0.3,0.2,0.1,-5.11
397  30,Orlando Robinson,C,TOR,16,8.4,2.8,2.1,0.8,0.4,0.2,0.6,-5.11
398  1,Blake Wesley,"PG,SG",SA,31,9.3,3.1,0.7,1.9,0.5,0.1,0.9,-5.14
399  26,Pat Spencer,,GS,19,7.2,2.6,1.4,1.6,0.4,0.1,0.6,-5.23
400  50,Seth Curry,SG,CHA,41,13.6,5.4,1.4,0.6,0.4,0.1,0.4,-5.29
401  20,Christian Koloko,C,LAL,27,8.6,2,2.1,0.4,0.3,0.3,0.3,-5.33
403  34,Aaron Holiday,"PG,SG",HOU,36,11.4,4.2,0.9,1.2,0.4,0.1,0.5,-5.37
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
404  10,Josh Minott,"SF,PF",MIN,31,7,2.6,1.1,0.4,0.4,0.3,0.2,-5.39
405  5,Kobe Brown,PF,LAC,20,7.9,2.7,2.3,0.7,0.2,0.2,0.3,-5.45
406  19,Kai Jones,C,LAC,27,7.6,2.2,1.7,0.4,0.2,0.4,0.4,-5.48
407  39,Branden Carlson,,OKC,15,6.4,3.1,1.7,0.4,0.1,0.4,0.1,-5.48
408  9,Ariel Hukporti,C,NY,19,7.9,1.8,1.8,0.4,0,0.6,0.6,-5.52
409  34,Dominick Barlow,"PF,C",ATL,14,7.1,2.5,1.4,0.2,0.2,0.4,0,-5.54
410  3,Jae Crowder,"SF,PF",SAC,7,13.1,2.9,2.4,0.6,0.4,0,0.6,-5.55
411  91,Tristan Thompson,"PF,C",CLE,25,8,1.7,3,0.7,0,0.3,0.4,-5.56
412  53,Jamison Battle,,TOR,35,12.6,5.4,1.8,0.9,0.1,0.1,0.3,-5.61
413  23,Drew Peterson,,BOS,13,9,2.7,2,0.6,0.2,0.2,0.4,-5.65
414  31,Craig Porter Jr.,"PG,SG",CLE,30,8.3,3,0.8,1,0.2,0.3,0.5,-5.66
415  21,Johnny Davis,"SG,SF",WAS,34,7.1,2.4,1.1,0.3,0.4,0.2,0.2,-5.71
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
416  7,Jaylon Tyson,SG,CLE,32,9.1,2.9,2.1,0.8,0.2,0.1,0.4,-5.72
417  94,Armel Traore,,LAL,9,7.4,1.6,1.7,0.1,0.4,0.2,0.3,-5.72
418  11,Jett Howard,SF,ORL,43,10.9,4.5,1.2,0.6,0.2,0.2,0.5,-5.73
419  7,Kessler Edwards,"SF,PF",DAL,21,8.5,1.2,1.7,0.5,0.3,0.2,0.2,-5.76
420  44,Dillon Jones,SF,OKC,30,9.1,2.2,2.1,0.9,0.2,0.1,0.4,-5.76
421  54,Keshad Johnson,PF,MIA,10,5.7,1.6,1.7,0.3,0.1,0.4,0.3,-5.81
422  14,Jaylen Clark,SG,MIN,9,10.8,3.4,1.3,0.4,0.3,0.1,0.1,-5.86
423  10,Isaac Jones,C,SAC,25,8.7,3.6,1.5,0.3,0.1,0.3,0.5,-5.89
424  7,Cory Joseph,PG,ORL,30,7.5,1.9,0.8,0.8,0.4,0.1,0.4,-5.93
425  3,Colby Jones,SG,SAC,24,5.4,1.1,1,0.3,0.3,0.3,0.3,-5.95
426  23,Malaki Branham,"PG,SG",SA,30,9.6,4.5,1.1,0.9,0.2,0.1,0.9,-5.97
427  22,Jevon Carter,"PG,SG",CHI,24,7.2,3.8,0.9,0.9,0.3,0,0.3,-5.99
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
429  30,Dariq Whitehead,"SG,SF",BKN,8,7,4.5,0.6,0.1,0.4,0.1,0.4,-6
430  9,Mason Jones,SG,SAC,5,5.6,2.8,1.6,1.8,0,0,0.2,-6.02
431  12,Antonio Reeves,SG,NO,20,9.3,4.3,0.9,0.7,0.3,0,0.3,-6.02
432  15,Landry Shamet,"PG,SG",NY,19,10.4,2.7,0.8,0.4,0.4,0.1,0.4,-6.03
433  34,Xavier Tillman Sr.,"PF,C",BOS,26,7.3,1,1.4,0.3,0.3,0.2,0.3,-6.05
434  10,Johnny Furphy,SG,IND,32,7.3,1.9,1,0.3,0.3,0.2,0.3,-6.07
435  17,Jalen Pickett,"PG,SG",DEN,21,8.4,2.6,0.9,1.5,0.2,0,0.3,-6.07
436  12,Jaden Springer,SG,HOU,26,5.4,1.7,0.9,0.4,0.5,0,0.2,-6.09
437  7,Jordan McLaughlin,"PG,SG",SA,28,6.8,1.9,0.8,0.9,0.4,0,0.4,-6.12
438  9,Luke Travers,,CLE,6,6.9,1.3,1,0.8,0.2,0.2,0.3,-6.12
439  41,Jeff Green,"PF,C",HOU,14,10.4,4.1,1.3,0.2,0.2,0.1,0.3,-6.14
441  53,Nate Williams,"PG,SG",HOU,6,3.5,2.7,0.5,0.2,0.3,0.2,0.2,-6.18
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
443  48,JT Thor,PF,CLE,9,4.7,3.1,0.7,0.1,0.2,0.3,0.7,-6.22
444  9,Garrett Temple,SG,TOR,17,3.9,0.6,0.6,0.6,0.4,0.1,0.2,-6.25
446  14,Damion Lee,"SG,SF",PHO,13,6,3.2,0.9,0.6,0.3,0,0.4,-6.27
447  15,Jordan Walsh,"SG,SF",BOS,34,7.8,1.6,1.1,0.3,0.2,0.2,0.2,-6.27
448  13,Caleb Houstan,"SG,SF",ORL,35,11.9,2.9,1,0.4,0.2,0.1,0.1,-6.27
449  19,Tyler Smith,PF,MIL,15,5,2.9,1.3,0.3,0.1,0.2,0.4,-6.28
450  47,Cam Christie,SG,LAC,5,5.7,1.2,1.2,0.4,0.4,0,0.4,-6.32
451  4,Rayan Rupert,"SG,SF",POR,35,7.9,2.5,1.1,0.5,0.2,0.1,0.5,-6.36
452  2,Brandon Williams,PG,DAL,17,7.1,2.8,0.8,1.1,0.2,0,0.6,-6.38
453  6,Zeke Nnaji,"PF,C",DEN,30,6.1,1.8,0.9,0.1,0.1,0.3,0.2,-6.41
454,Bol Bol,"PF,C",PHO,14,6,3.1,1.5,0.3,0.1,0.1,0.5,-6.44
455  17,Moses Brown,C,IND,9,5.1,3.2,1.4,0,0.2,0.1,0.7,-6.46
R#,PLAYER,POS,TEAM,GP,MPG,PTS,TREB,AST,STL,BLK,TO,TOTAL
456,Pacome Dadiet,SF,NY,13,6.4,1.5,1,0.4,0.1,0.2,0.1,-6.46
457  3,Hunter Tyson,"SF,PF",DEN,35,7.6,2.1,1.5,0.4,0.1,0.1,0.3,-6.47
458  18,Tyler Kolek,PG,NY,28,5.2,1.9,0.5,0.8,0.3,0,0.3,-6.48
459  9,Tristan Vukcevic,C,WAS,10,6,3.6,1.4,0.5,0,0.1,0.4,-6.49
460  19,Luka Garza,C,MIN,19,5.3,3.6,1.3,0.1,0.1,0.1,0.3,-6.49
462  12,Chris Livingston,"SF,PF",MIL,12,4.7,1.2,1.6,0.1,0.3,0,0.4,-6.54
463  6,AJ Johnson,SG,MIL,7,6.2,2.9,1,1,0.1,0,0.6,-6.56
465  31,Collin Gillespie,PG,PHO,6,4,2.2,0.8,0.5,0,0.2,0,-6.58
466  26,Baylor Scheierman,SG,BOS,9,6,1,1.4,0.4,0.2,0,0,-6.6
467  40,Liam Robbins,,MIL,13,4.4,0.7,0.9,0.2,0.2,0.2,0.5,-6.62
468  33,Bronny James Jr.,SG,LAL,16,4,0.9,0.4,0.4,0.3,0.1,0.3,-6.64
470  61,EJ Liddell,PF,CHI,6,5.1,2.5,0.8,0.5,0.2,0,0.3,-6.65
471  5,Pete Nance,,PHI,7,9.8,2.1,1.4,0.4,0.1,0,0,-6.66
474  29,Markieff Morris,PF,LAL,8,5.7,1.5,1,0.5,0.1,0.1,0.3,-6.7
475  14,Enrique Freeman,PF,IND,19,7.3,1.7,1,0.4,0.1,0.1,0.3,-6.73
476  29,Adam Flagler,,OKC,18,4.4,1.3,0.4,0,0.3,0.1,0.1,-6.73
477  26,Leonard Miller,PF,MIN,6,2.6,1.7,1.5,0,0.2,0,0.3,-6.76
478  32,Patrick Baldwin Jr.,PF,MIL,22,4.6,2.1,1,0.1,0.1,0.1,0.2,-6.8
479  16,Terrence Shannon Jr.,SG,MIN,11,4.2,1.4,0.2,0.5,0.2,0.1,0.3,-6.81
480  4,Anthony Gill,"PF,C",WAS,36,5.8,1.8,0.8,0.2,0.2,0,0.2,-6.88
481  19,Stanley Umude,SF,MIL,19,3.2,0.6,0.7,0.1,0.2,0.1,0.1,-6.89
482  16,Chris Duarte,SG,CHI,17,4.4,2.1,1.2,0.5,0,0,0.1,-6.94
